team_naam,team_afkorting,team_landcode,team_status,renner_naam,renner_landcode,geboortedatum,geboorteplaats,gewicht,lengte
"TotalEnergies","TEN","FR","Pro Tour","Cristián  Rodríguez","ES","1995-03-03","El Ejido","56","1.78"
"B&B Hotels - KTM","BBK","FR","Pro Tour","Thibault  Ferasse","FR","1994-09-12","Saint-Brieuc","61","1.68"
"INEOS Grenadiers","IGD","GB","World Tour","Brandon Smith  Rivera","CO","1996-03-21","Zipaquirá","60","1.7"
"Burgos-BH","BBH","ES","Pro Tour","Felipe  Orts","ES","1995-04-01","Villajoyosa","70","1.79"
"EF Education-EasyPost","EFE","US","World Tour","Mark  Padun","UA","1996-07-06","Donetsk","67","1.83"
"Bardiani-CSF-Faizanè","BCF","IT","Pro Tour","Alessandro  Tonelli","IT","1992-05-29","Brescia","64","1.76"
"Drone Hopper -  Androni Giocattoli","DRA","IT","Pro Tour","Umberto  Marengo","IT","1992-07-21","Javein","69","1.79"
"BORA - hansgrohe","BOH","DE","World Tour","Giovanni  Aleotti","IT","1999-05-25","Mirandola","67","1.8"
"Bahrain - Victorious","TBV","BH","World Tour","Alejandro  Osorio","CO","1998-05-28","El Carmen de Viboral","62","1.81"
"TotalEnergies","TEN","FR","Pro Tour","Maciej  Bodnar","PL","1985-03-07","Oława","77","1.86"
"B&B Hotels - KTM","BBK","FR","Pro Tour","Sebastian  Schönberger","AT","1994-05-14","Linz","64","1.81"
"Groupama - FDJ","GFC","FR","World Tour","David  Gaudu","FR","1996-10-10","Landivisiau","53","1.72"
"Bingoal Pauwels Sauces WB","BWB","BE","Pro Tour","Ceriel  Desal","BE","1999-10-20","Roeselare","76","1.89"
"Quick-Step Alpha Vinyl Team","QST","BE","World Tour","Zdeněk  Štybar","CZ","1985-12-11","Planá","68","1.83"
"Burgos-BH","BBH","ES","Pro Tour","Ángel  Madrazo","ES","1988-07-30","Santander","61","1.71"
"Movistar Team","MOV","ES","World Tour","Carlos  Verona","ES","1992-11-04","San Lorenzo de El Escorial","68","1.86"
"AG2R Citroën Team","ACT","FR","World Tour","Larry  Warbasse","US","1990-06-28","Traverse City","67","1.8"
"Israel - Premier Tech","IPT","IL","World Tour","Giacomo  Nizzolo","IT","1989-01-30","Milan","72","1.84"
"Movistar Team","MOV","ES","World Tour","Gregor  Mühlberger","AT","1994-04-04","Haidershofen ","64","1.8"
"BORA - hansgrohe","BOH","DE","World Tour","Anton  Palzer","DE","1993-03-11","Berchtesgaden","62","1.78"
"Team DSM","DSM","NL","World Tour","Romain  Bardet","FR","1990-11-09"," Brioude","65","1.85"
"Bardiani-CSF-Faizanè","BCF","IT","Pro Tour","Johnatan  Cañaveral","CO","1996-11-02",,,
